,id,created_at,verified,username,text,location,listed_count,follower_count,retweet_count
3689,1226968553791856645,2020-02-10 20:37:53,False,BU2MalQCBZeLQmm,b'RT @tamutam63196149: \xf0\x9f\x90\xb1 #\xe6\x8b\xa1\xe6\x95\xa3\xe5\xb8\x8c\xe6\x9c\x9b\xe3\x80\x80#\xe5\x85\xb5\xe5\xba\xab\xe7\x9c\x8c #\xe4\xbf\x9d\xe5\x81\xa5\xe6\x89\x80 #\xe7\x8c\xab\xe3\x80\x80#\xe4\xbf\x9d\xe8\xad\xb7\xe7\x8c\xab\xe3\x80\x80#\xe5\xad\x90\xe7\x8c\xab\xe3\x80\x80 #\xe9\x87\x8c\xe8\xa6\xaa \xe5\x8b\x9f\xe9\x9b\x86\xe4\xb8\xad\n#\xe7\xa5\x9e\xe6\x88\xb8\xe5\xb8\x82\xe3\x80\x80\xe5\x8b\x95\xe7\x89\xa9\xe7\xae\xa1\xe7\x90\x86\xe3\x82\xbb\xe3\x83\xb3\xe3\x82\xbf\xe3\x83\xbc\n\xe2\x9e\xa1\xef\xb8\x8ehttps://t.co/vMc3zNajns\n\xf0\x9f\x93\xa3\xe5\xb9\xb3\xe6\x97\xa510\xe3\x80\x9c15\xe6\x99\x82\xe3\x81\xab\xe8\xad\xb2\xe6\xb8\xa1\xe8\xa6\x8b\xe5\xad\xa6\xe4\xbc\x9a\xe9\x96\x8b\xe5\x82\xac\xe4\xb8\xad\xef\xbc\x81\n\xef\xbc\x92\xe5\x8c\xb9\xe3\x81\xae\xe3\x83\x8b\xe3\x83\xa3\xe3\x83\xb3\xe3\x82\xb3\xe3\x81\x8c\xe5\xae\xb6\xe6\x97\x8f\xe3\x81\xa8\xe3\x81\xae\xe5\x87\xba\xe4\xbc\x9a\xe3\x81\x84\xe3\x82\x92\xe5\xbe\x85\xe3\x81\xa3\xe3\x81\xa6\xe2\x80\xa6',,1,480,7
3690,1226968552592330758,2020-02-10 20:37:53,False,isnotgraham,b'*googles Kobe Pau hug*',"Denver, CO",15,1149,0
3691,1226968549534654464,2020-02-10 20:37:52,False,TraB_whoU,b'Every single day man! How do I keep waking up in a world where Kobe Bryant is no longer living! I sorely wish that\xe2\x80\xa6 https://t.co/kgfd1X1mr7',"columbia, sc - 803",19,761,1
3692,1226968549115211776,2020-02-10 20:37:52,False,vickyxlafumin,b'RT @CristalBarzz: Kobe had one accuser and he was acquitted. Charlie Rose had 27 accusers and #GayleKing stood by him. Make it make sense.\xe2\x80\xa6',863,0,134,618
3693,1226968546003034112,2020-02-10 20:37:51,False,neek___p,b'RT @timelesssports_: (2001) Kobe and Iverson jawing at each other during the Finals.\n\nUndeniable passion. \xe2\x99\xbe https://t.co/FzDM41OycM',"Inglewood, CA",57,1354,1227
3694,1226968544262414338,2020-02-10 20:37:51,False,mode_depecherom,"b""RT @TMZ: Vanessa Bryant Opens Up About Losing Kobe &amp; GiGi, 'I'm So Mad' https://t.co/HQCq3XWXVZ""","Chicago, IL",0,86,57
3695,1226968534229581830,2020-02-10 20:37:49,False,Adrianneee_13,b'Kobe Japanese Steakhouse I\xe2\x80\x99m ready for you!! Friday wya!?',,6,2350,0
3696,1226968532900024321,2020-02-10 20:37:48,False,sandra73718293,b'@AfrDiasporaNews these white ppl found a new way of getting a paid vacation all they have to do is post or say anyt\xe2\x80\xa6 https://t.co/1dazHp25SJ',,0,33,0
3697,1226968530010157061,2020-02-10 20:37:48,False,hannosolo_,"b'RT @SportsCenter: Eight years ago today, Jeremy Lin put on a show at MSG vs. Kobe and the Lakers. https://t.co/bZPtfxOL2P'","Pennsylvania, USA",0,145,3311
3698,1226968527187345410,2020-02-10 20:37:47,False,PrettyGirlJay_,b'When are they burying Kobe and Gigi? Or have they already done it and I missed it. \xe2\x98\xb9\xef\xb8\x8f',"Alabama, USA",30,3524,0
3699,1226968525245493249,2020-02-10 20:37:47,False,NLG_noon,"b'RT @espn: In 2018, Kobe Bryant won Best Animated Short Film at the #Oscars https://t.co/SVPuERf2LA'",,1,357,5322
3700,1226968525060952065,2020-02-10 20:37:47,False,I_Luv_Thinkers,b'RT @CristalBarzz: Kobe had one accuser and he was acquitted. Charlie Rose had 27 accusers and #GayleKing stood by him. Make it make sense.\xe2\x80\xa6',East Coast,97,2112,618
3701,1226968524691771394,2020-02-10 20:37:46,False,Donnyappleseed_,"b'RT @RenyTay: What Erica Cobb did was not compare Kobe to Emmett Till, that\xe2\x80\x99s nonsensical. And a reduction to absurdity. Erica spoke to the\xe2\x80\xa6'",,3,366,38
3702,1226968518312308738,2020-02-10 20:37:45,False,G12_Alvarez,b'RT @tysonbeckdesign: Spent my week taking down this official Kobe Bryant artwork I made from 102 stores and ads illegally selling it. \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xe2\x80\xa6',,1,138,1648
3703,1226968515153973248,2020-02-10 20:37:44,False,GoddessThemis,b'RT @Newsweek: #IStandWithGayle trends after Gayle King receives death threats for raising Kobe Bryant rape allegations in Lisa Leslie inter\xe2\x80\xa6',,26,4761,9
