,username,type,to
4028,@SherryFleming2,RT,@929TheGame
4029,@Kobe_ofori16,Tweet,@Kobe_ofori16
4030,@JaneMittens,RT,@CBSThisMorning
4031,@faceman68,RT,@TorraineWalker
4032,@lorenzo8300,RT,@rhondamaryvids
4033,@McmurphySteven,RT,@SportsCenter
4034,@killerqueen2023,RT,@himeji_seiban
4035,@nicogonzalez66,RT,@Pasion_Basket1
4036,@943TheGame,RT,@SportsCenter
4037,@kobe_massey13,RT,@geeeooorrrgia
4038,@Molobm,Tweet,@Molobm
4039,@ChadHal502,Tweet,@ChadHal502
4040,@Juifiger,RT,@OprahSide
4041,@desiree_tutt,Tweet,@desiree_tutt
4042,@Em87211230,RT,@BleacherReport
4043,@BillyBrucknerBX,RT,@BLKLiberation84
4044,@migabarrerag,RT,@thegenesisinv
4045,@GianPanozzo15,RT,@Ballislife
4046,@kmgleessh,RT,@ESPNNBA
4047,@ItZ_Dyl_bihh,RT,@BleacherReport
4048,@DeshaunAllison,RT,@SportsCenter
4049,@LaRhondaM99,RT,@LegionHoops
4050,@RenganOfCourse,Tweet,@RenganOfCourse
4051,@tabbypotter,Tweet,@tabbypotter
4052,@Maryjan33962416,RT,@rhondamaryvids
4053,@1stglokage,RT,@trvppin_lex
4054,@zanattazanattaz,RT,@NBABrasil
4055,@S04Tu,RT,@tamutam63196149
4056,@delt_delta,RT,@BleacherReport
4057,@the_goodbook,Tweet,@the_goodbook
4058,@fretpal,Tweet,@fretpal
4059,@StudntAthleteNY,Tweet,@StudntAthleteNY
4060,@B_Rawww7,RT,@timelesssports_
4061,@Von55696715,Tweet,@Von55696715
4062,@dooysbey,RT,@jaeminpic
4063,@brendadc,RT,@NYDailyNews
4064,@kobe_ekimae,Tweet,@kobe_ekimae
4065,@WlNGSPAN,Tweet,@WlNGSPAN
4066,@DeLanoTV,Tweet,@DeLanoTV
4067,@chtucker18,RT,@CristalBarzz
4068,@toucool1,RT,@Riddimstream
4069,@JLR_sara,RT,@Mamba_Insider
4070,@thehoneybae,RT,@Mamba_Insider
4071,@lowlifekee,RT,@enews
4072,@Starlight_David,Tweet,@Starlight_David
4073,@MsMediaBeth,RT,@enews
4074,@BarbT22,Tweet,@BarbT22
4075,@JaunDonn,RT,@Complex
4076,@Jorgerock17,RT,@BleacherReport
4077,@Truely24Blessed,RT,@joromiahhh
4078,@brad_sndf,RT,@BleacherReport
4079,@klil_23,RT,@timelesssports_
4080,@amaurylaran,RT,@VerySmartBros
4081,@JeanManuel10,RT,@GolfDigest
4082,@S04Tu,RT,@tamutam63196149
4083,@midtowndanii,Tweet,@midtowndanii
4084,@kobe_massey13,RT,@martinezmcharts
4085,@KenardHarris1,RT,@timelesssports_
4086,@corleone_sg,RT,@mediotiempo
4087,@S04Tu,RT,@tamutam63196149
4088,@Swisha_35,RT,@BleacherReport
4089,@BigHTexas,Tweet,@BigHTexas
4090,@hopeforall,Tweet,@hopeforall
4091,@wponds,RT,@SportsCenter
4092,@Jazzy_Fizzle07,Tweet,@Jazzy_Fizzle07
4093,@kobe_massey13,RT,@urbestenemy
4094,@Kobe_DBEE,RT,@khbleu
4095,@TheMelanininmee,RT,@enews
4096,@bisbila,RT,@CINEMANIA_ES
4097,@Mendosa_91,RT,@TerylLdh
4098,@Footpack,Tweet,@Footpack
4099,@illestmav,RT,@ComplexSneakers
4100,@jalynnmarieee,RT,@enews
4101,@punk_freak,RT,@BleacherReport
4102,@LeoThaLast,Tweet,@LeoThaLast
4103,@aleexarriaga,RT,@MambaCenter
4104,@JLOHagans,RT,@TiffanyDCross
4105,@CaStew95,RT,@LakersNation
4106,@PeriwinkleRip,Tweet,@PeriwinkleRip
4107,@dita_peraspera,RT,@jo12jo12
4108,@transdocnoticia,Tweet,@transdocnoticia
4109,@highoffthatEB,Tweet,@highoffthatEB
4110,@mariaarosales5,RT,@BleacherReport
4111,@Somedud98002798,RT,@Omar_777_
4112,@antonio7tres,RT,@BleacherReport
4113,@Lixcxia,RT,@RapMais
4114,@WhoGotTheGrabba,RT,@iamlerose
4115,@_KeepitG_,RT,@LakeShowFamily
4116,@gbabyy_xo,RT,@CristalBarzz
4117,@TerylLdh,Tweet,@TerylLdh
4118,@Behandrs,RT,@NBABrasil
4119,@ElNacionalWeb,Tweet,@ElNacionalWeb
4120,@LALakeShow247,RT,@LakersNation
4121,@madvubry,RT,@curvellas
4122,@Pbully_TYB,Tweet,@Pbully_TYB
4123,@alex14Bi,Tweet,@alex14Bi
4124,@Luc4Trevisan,RT,@parallelecinico
4125,@GabrielaLaLoca,RT,@Freeyourmindkid
4126,@_MoSean_,RT,@BleacherReport
4127,@marigold1154,RT,@wayward_son27
4128,@RobertAlvarezz_,RT,@BleacherReport
4129,@Avs4Donskoi72,RT,@cavs
4130,@MrsEricPatton,RT,@eugenegu
4131,@JaneMittens,RT,@houseoflena
4132,@GiftedChris10,RT,@caaessynn
4133,@rswigert22,Tweet,@rswigert22
4134,@harewol,Tweet,@harewol
4135,@ParisMatch,Tweet,@ParisMatch
4136,@alshawafmumin,RT,@RyersonDMZ
4137,@darkcastle22,RT,@nazmeliszengin
4138,@WhoaDere_Buffy,RT,@timelesssports_
4139,@ryukayuki1986y1,RT,@zensokutaro
4140,@Killa_421,RT,@SportsCenter
4141,@Cajunwealth,RT,@tariqnasheed
4142,@LakersNation,Tweet,@LakersNation
4143,@Duchessecomplex,Tweet,@Duchessecomplex
4144,@HassanY89,RT,@RTSportNews
4145,@k_flow313,RT,@espn
4146,@NottetSandra,RT,@IsaacHayes3
4147,@DeRay_Shawn,RT,@SXMUrbanView
4148,@YouANess_,RT,@Girlthatsguwop
4149,@Curtis_Metcalf1,RT,@MrChuckD
4150,@4x_jimmy,RT,@espn
4151,@AngelJac5,RT,@IsaacHayes3
4152,@FernyFade,RT,@timelesssports_
4153,@MattMk316,RT,@MrChuckD
4154,@e_loz95,RT,@tysonbeckdesign
4155,@shakespearelovr,Tweet,@shakespearelovr
4156,@SaylasMoon,RT,@TorraineWalker
4157,@FaderJake,RT,@Mamba_Insider
4158,@antonio7tres,RT,@BleacherReport
4159,@SatsuiNoNegrou,RT,@MattNorlander
4160,@_AT3_,RT,@LegionHoops
4161,@Andresvelez_24,RT,@OprahSide
4162,@Pink_Chinasa,RT,@gossipoftheciti
4163,@denidm_,RT,@espn
4164,@faceman68,RT,@MrChuckD
4165,@JJnyfrmtheblk,RT,@FOX29philly
4166,@crenshawloso,RT,@ShadayaKnight
4167,@Aletheamatthew7,Tweet,@Aletheamatthew7
4168,@chulokedro,RT,@timelesssports_
4169,@DreFost1,RT,@ChargersLegion
4170,@akaJamatic,RT,@ESPNNBA
4171,@deelishmonster,RT,@enews
4172,@Kobe_ofori16,Tweet,@Kobe_ofori16
4173,@KiannaMontclair,RT,@MambaCenter
4174,@tomhoffarth,RT,@AngelusNews
4175,@Jill_Louise9,RT,@gary_hensel
4176,@BigStaceSMG,RT,@SportsCenter
4177,@avcnarrador,RT,@NBABrasil
4178,@johnjohnc2015,RT,@Mamba_Insider
4179,@ElizabethTx82,RT,@cavs
4180,@BinksWinston,Tweet,@BinksWinston
4181,@supergaycie,Tweet,@supergaycie
4182,@sportsdoinggood,Tweet,@sportsdoinggood
4183,@CesaritoRocha,Tweet,@CesaritoRocha
4184,@lucas_hen11,RT,@NBABrasil
4185,@BigL2fly,RT,@SportsCenter
4186,@Imoad2,RT,@BleacherReport
4187,@Alvnxo,RT,@Mamba_Insider
4188,@The_Truthness,RT,@nikka202
4189,@SunflowerSoul71,Tweet,@SunflowerSoul71
4190,@agizzle357,RT,@Mamba_Insider
4191,@BoniIlliassou,RT,@ComplexStyle
